Date,Text,SA
15-04-2012,Netural,0
16-04-2012,Netural,0
17-04-2012,Sensex Live            Change                sensex stock price  Sensex Live            Change                nifty stock price ,0.4019
18-04-2012,Sensex Live            Change                 bse stock price ,0
19-04-2012,Netural,0
20-04-2012,Nagarjuna Oil Refinery Stock Price  Share Price  Live BSE NSE,0.296
21-04-2012,Sensex Live            Change                   nse stock price Sensex Live            Change                   stock price nse Stockwatch  In driver s seat amid bad news  Its stock price   it closed at Rs       on the BSE on Friday Stockwatch  In driver s seat amid bad news  Its stock price   it closed at Rs       on the BSE on Friday,-0.7906
22-04-2012,Sensex Live            Change                   stock price,0
23-04-2012,Netural,0
24-04-2012,Sensex Live            Change                 nifty stock price  Sensex Live            Change                 live stock price ,0.4019
25-04-2012,Sensex Live            Change                  nifty stock price,0.4019
26-04-2012,Netural,0
27-04-2012,Sensex Live            Change               intraday stock price Sensex Live            Change                  future stock price,0
28-04-2012,Sensex Live            Change                nse stock price,0
29-04-2012,Netural,0
30-04-2012,Sensex Live            Change                nifty stock price,0.4019
01-05-2012,Fat pigs means pork rally bust t SZKI Maruti Suzuki Ind Ltd    stock price  dipped    on the BSE during day trade to Rs          ,0
02-05-2012,Netural,0
03-05-2012,Sensex Live            Change                   bse live stock price  Sensex Live            Change                  market stock price,0
04-05-2012,Netural,0
05-05-2012,Netural,0
06-05-2012,Netural,0
07-05-2012,Sensex Live            Change                nse stock price Sensex Live            Change                   bse live stock price Sensex Live            Change                   future stock price ,0
08-05-2012,Netural,0
09-05-2012,Netural,0
10-05-2012,Sensex Live            Change                  sensex stock price  Sensex Live            Change                  free stock price ,0.5106
11-05-2012,Netural,0
12-05-2012,Netural,0
13-05-2012,Sensex Live            Change                   sensex stock price,0
14-05-2012,Netural,0
15-05-2012,Netural,0
16-05-2012,Sensex Live            Change                   bse live stock price,0
17-05-2012,Property development in India more lucrative than booming consumer market  billionaire says Sensex Live            Change                live stock price ,0
18-05-2012,Netural,0
19-05-2012,Sensex Live            Change                nifty stock price Sensex Live            Change                nifty stock price  Sensex Live            Change                bse live stock price ,0.6597
20-05-2012,Sensex Live            Change                stock price nse ,0
21-05-2012,Netural,0
22-05-2012,Sensex Live            Change                   live stock price  Sensex Live            Change                market stock price ,0
23-05-2012,Sensex Live            Change                  free stock price Sensex Live            Change                   sensex stock price,0.5106
24-05-2012,Netural,0
25-05-2012,Sensex Live            Change                  market stock price ,0
26-05-2012,Netural,0
27-05-2012,Sensex Live            Change                 nifty stock price,0.4019
28-05-2012,Price Differential Fund  Is there a fund that earns from the arbitrage opportunities on a stock price on BSE  amp  N  Price Differential Fund  Is there a fund that earns from the arbitrage opportunities on a stock price on BSE  amp  N  Is there a fund that earns from the arbitrage opportunities on a stock price on BSE  amp  NSE ,0.7783
29-05-2012,Netural,0
30-05-2012,Netural,0
31-05-2012,Netural,0
01-06-2012,Sensex Live            Change                   bse stock price,0
02-06-2012,Netural,0
03-06-2012,Sensex Live            Change                   nse stock price ,0
04-06-2012,Maruti Suzuki India Stock Price  Share Price  Live BSE NSE  Maruti    ,0.296
05-06-2012,Netural,0
06-06-2012,Netural,0
07-06-2012,PSU Banks stock price have gone below their valuations  time to accumulate these stocks from long term perspective  ,0
08-06-2012,Netural,0
09-06-2012,Sensex Live            Change                nse stock price ,0
10-06-2012,Sensex Live            Change                stock price nse ,0
11-06-2012,Sensex Live            Change                  stock price ,0
12-06-2012,Sensex Live           Change                 stock price nse  Sensex Live            Change                  stock price,0
13-06-2012,Netural,0
14-06-2012,Sensex Live            Change                   live stock price,0
15-06-2012,Netural,0
16-06-2012,Sensex Live            Change                 free stock,0.5106
17-06-2012,Netural,0
18-06-2012,India stuns markets by keeping interest rates steady,0.4767
19-06-2012,Netural,0
20-06-2012,intraday stock price,0
21-06-2012,Sensex Live            Change                  stock price ,0
22-06-2012,Netural,0
23-06-2012,Sensex Live            Change                  bse stock price ,0
24-06-2012,Sensex Live            Change                  nse stock price ,0
25-06-2012,Sensex Live            Change                  bse stock price ,0
26-06-2012,MindTree Stock Price  Share Price  Live BSE NSE  MindTree Bids    ,0.296
27-06-2012,Nagarjuna Oil Refinery Stock Price  Share Price,0.296
28-06-2012,Netural,0
29-06-2012,Netural,0
30-06-2012,Netural,0
01-07-2012,Netural,0
02-07-2012,Sensex Live            Change                  stock price nse ,0
03-07-2012,BRICs priced for economic meltdown,0
04-07-2012,Netural,0
05-07-2012,Netural,0
06-07-2012,Sensex Live            Change                  sensex stock price ,0
07-07-2012,Netural,0
08-07-2012,Sensex Live            Change                  stock price nse  Sensex Live            Change                  live stock price,0
09-07-2012,Sensex Live            Change                  nse stock price,0
10-07-2012,Netural,0
11-07-2012,Sensex Live            Change                  bse stock price,0
12-07-2012,South Korea rate cut slams emerging markets,-0.2732
13-07-2012,Netural,0
14-07-2012,Netural,0
15-07-2012,Netural,0
16-07-2012,Netural,0
17-07-2012,Netural,0
18-07-2012,Sensex Live            Change                bse stock price,0
19-07-2012,Netural,0
20-07-2012,Sensex Live            Change                   stock price nse,0
21-07-2012,Netural,0
22-07-2012,Sensex Live            Change                   sensex stock price,0
23-07-2012,Netural,0
24-07-2012,Netural,0
25-07-2012,Sensex Live            Change                  bse stock price,0
26-07-2012,Netural,0
27-07-2012,Sensex Live            Change                 sensex stock price ,0
28-07-2012,Sensex Live            Change                 stock price,0
29-07-2012,Netural,0
30-07-2012,Netural,0
31-07-2012,Netural,0
01-08-2012,Netural,0
02-08-2012,Netural,0
03-08-2012,Netural,0
04-08-2012,Netural,0
05-08-2012,Netural,0
06-08-2012,Sensex Live            Change                 nse stock price,0
07-08-2012,Sensex Live            Change                 nifty stock price Sensex Live            Change                 stock price nse,0.4019
08-08-2012,Netural,0
09-08-2012,Netural,0
10-08-2012,Netural,0
11-08-2012,Netural,0
12-08-2012,Netural,0
13-08-2012,Netural,0
14-08-2012,Netural,0
15-08-2012,Netural,0
16-08-2012,Netural,0
17-08-2012,Netural,0
18-08-2012,Netural,0
19-08-2012,Netural,0
20-08-2012,Sensex Live            Change                nse stock price ,0
21-08-2012,Netural,0
22-08-2012,Sensex Live            Change                  free stock price,0.5106
23-08-2012,Netural,0
24-08-2012,Netural,0
25-08-2012,Netural,0
26-08-2012,Netural,0
27-08-2012,Netural,0
28-08-2012,Netural,0
29-08-2012,Sensex Live           Change                   future stock price,0
30-08-2012,Netural,0
31-08-2012,Netural,0
01-09-2012,Sensex Live            Change                   bse live stock price Sensex Live            Change                   intraday stock price Sensex Live            Change                   nifty stock price,0.4019
02-09-2012,Netural,0
03-09-2012,Sensex Live            Change                  stock price nse ,0
04-09-2012,Netural,0
